id;categoria;pergunta;documentos_esperados;escopo_esperado;mistura_permitida;referencia_esperada;resposta_esperada_ground_truth;deve_responder;observacao
Q011;normativa_geral;Quais são os deveres de uma igreja filiada?;"Constituição da Aliança das Igrejas Evangélicas Congregacionais do Brasil; Regimento Interno da Aliança";congregacional_normativo;sim;Artigos sobre igrejas filiadas, responsabilidades e deveres;Uma igreja filiada deve subscrever e respeitar a Constituição, a Confissão de Fé, o Regimento Interno, o Código de Ética, as decisões conciliares e as resoluções da Aliança. Também deve adotar o governo congregacional, reconhecer o batismo e a Ceia do Senhor como ordenanças bíblicas, participar das atividades da Aliança, contribuir financeiramente com a denominação e cooperar com suas organizações. O Regimento Interno detalha deveres da igreja local, como doutrinar seus membros, incentivar o desenvolvimento de talentos, cuidar de seus obreiros, atender necessidades de órfãos e viúvas e comemorar datas denominacionais.;sim;Mistura entre documentos normativos é permitida se as fontes forem citadas.
Q012;normativa_geral;Como funciona o processo de filiação de uma igreja?;"Constituição da Aliança das Igrejas Evangélicas Congregacionais do Brasil; Regimento Interno da Aliança";congregacional_normativo;sim;Artigos sobre ingresso, filiação e requisitos;A igreja deve apresentar o pedido e a documentação exigida. O pedido é encaminhado à Região Administrativa responsável pela área, que verifica o cumprimento dos requisitos e o envia à Diretoria Nacional com seu parecer. A documentação é examinada pelo Conselho de Pastores e pelo Departamento Teológico, e a Diretoria Nacional decide e homologa, ou não, a filiação, comunicando a decisão à igreja e à Região Administrativa. A filiação pode ser regular, quando a igreja está adimplente, ou temporária, nas situações previstas pela Constituição.;sim;Avaliar se o sistema consulta normas e não apenas doutrina.
Q013;normativa_geral;Quais responsabilidades éticas são atribuídas a um ministro?;Código de Ética do Ministro Congregacional;congregacional_normativo_etico;sim;Seções/artigos sobre deveres éticos do ministro;O ministro deve manter pureza de pensamento e caráter, dependência de Deus, equilíbrio pessoal e familiar, integridade financeira e cuidado com a saúde. Em relação à igreja, deve exercer o ministério com dedicação, imparcialidade e fidelidade às Escrituras, respeitar o governo congregacional, não utilizar recursos da igreja em benefício próprio, não cobrar por atos pastorais e guardar sigilo no aconselhamento. Também deve ser leal à ALIANÇA, cooperar com os demais ministros sem tratá-los como concorrentes, respeitar seus antecessores e sucessores, agir com prudência na sociedade, praticar cidadania responsável e obedecer às leis que não contrariem a lei de Deus.;sim;Pode recuperar regimento como apoio, mas Código de Ética deve ser central.
Q014;normativa_geral;Quais são as regras gerais sobre disciplina eclesiástica?;"Regimento Interno da Aliança; Código de Ética do Ministro Congregacional (complementar)";congregacional_normativo;sim;Artigos/seções sobre disciplina e sanções;Segundo o Regimento Interno da Aliança, a disciplina denominacional visa à edificação do povo de Deus, à correção de escândalos, erros ou faltas, à promoção da honra de Deus e da glória de nosso Senhor Jesus Cristo. A ALIANÇA exerce ação disciplinar sobre pastores, missionários, missionárias e igrejas a ela jurisdicionadas. No âmbito da igreja local, a igreja tem autonomia para disciplinar os seus membros caso transgridam os mandamentos do Senhor ou não observem as diretrizes dos seus documentos normativos. Nenhuma pena disciplinar deve ser aplicada sem instauração de processo para apuração da verdade, devidamente instruído, e com amplo direito de defesa ao acusado. As penalidades previstas são censura, suspensão, desligamento de cargo ou função e exclusão, e o membro excluído ou com direitos suspensos não pode ser recebido por outra igreja sem que a igreja que aplicou a penalidade seja ouvida.;sim;Avaliar se a resposta recupera o Regimento Interno, especialmente disciplina denominacional, autonomia da igreja local para disciplinar membros, processo para apuração da verdade, amplo direito de defesa e penalidades. O Código de Ética pode complementar a dimensão ministerial, mas não deve substituir o Regimento.
Q015;normativa_geral;Como uma congregação pode ser emancipada e se tornar uma igreja filiada?;"Regimento Interno da Aliança; Resolução Aliança nº 01/2020; Constituição da Aliança das Igrejas Evangélicas Congregacionais do Brasil";congregacional_normativo;sim;Artigos e dispositivos sobre congregações, campos missionários, emancipação e filiação;"Uma congregação, formalmente organizada como igreja, poderá filiar-se à ALIANÇA se cumprir as condições do Regimento Interno e apresentar também a documentação exigida no art. 5º, § 1º, da Constituição da ALIANÇA. Pelo Regimento Interno, deve ter mínimo de 40 membros capazes de assumir a responsabilidade de mantê-la, dentre eles um presbítero e dois diáconos; declaração de acatamento da Constituição da denominação, do Regimento Interno, da Confissão de fé, do Código de Ética do Ministro Congregacional, das Decisões conciliares e das Resoluções administrativas; estatuto próprio; e cópia da ata da assembleia geral que deliberou sobre a filiação pretendida, com assinatura de no mínimo 2/3 dos membros. O pedido de filiação é encaminhado à Região Administrativa, que verifica as condições exigidas e o envia à Diretoria Nacional com parecer. A Resolução Aliança nº 01/2020 também trata do plano de incentivo à emancipação de Pontos de Pregação, Congregações e Campos Missionários, exigindo no ato da adesão mínimo de 40 membros capazes, um Pastor eleito ou em Processo de Ordenação como ministro da ALIANÇA, três oficiais, capacidade financeira plena ou situação considerada plenamente viável por análise Financeira e Contábil, compromisso de emancipação e filiação à ALIANÇA ao final de 12 meses e envio de relatórios mensais para verificação e adequação às normas legais para emancipação.";sim;A pergunta deve recuperar Regimento Interno Art. 6º e Art. 7º, Constituição Art. 5º §1º e Resolução Aliança nº 01/2020. Se a resposta disser que só há regra para campo missionário, está incompleta, pois o Regimento trata de congregação formalmente organizada como igreja e a Resolução cita Pontos de Pregação, Congregações e Campos Missionários.
Q016;normativa_especifica;Segundo o Código de Ética do Ministro Congregacional, quais são os deveres do ministro em sua vida pessoal?;Código de Ética do Ministro Congregacional;congregacional_normativo_etico;não;Seção sobre o ministro e sua vida pessoal;"Segundo o Código de Ética do Ministro Congregacional, em sua vida pessoal, o ministro deve renovar continuamente a mente e manter puros os pensamentos; depender da ação de Deus e abandonar sentimentos como ódio, vingança, rancor e agressividade; desenvolver o caráter e ser exemplo de conduta; cuidar da saúde física e emocional; administrar o tempo de modo equilibrado; ser fiel nos dízimos e contribuições e generoso com os necessitados; citar as fontes e os autores de textos utilizados; tratar todas as pessoas com igualdade; e tratar com lisura as pessoas que trabalham para sua família, cumprindo as obrigações trabalhistas.";sim;Avaliar escopo do documento explicitado.
Q017;normativa_especifica;De acordo com a Constituição da Aliança, quais são os requisitos para ingresso de igrejas?;Constituição da Aliança das Igrejas Evangélicas Congregacionais do Brasil;congregacional_normativo_constitucional;não;Artigos sobre ingresso/filiação de igrejas;"Segundo a Constituição da Aliança, poderão filiar-se à ALIANÇA igrejas evangélicas de governo congregacional que adotem os princípios consagrados no art. 1º da Constituição. O ingresso de igrejas será precedido do envio da documentação exigida para o escritório sede da denominação, a qual será examinada pelo Conselho de Pastores e pelo Departamento Teológico e homologada em reunião da Diretoria Nacional. As igrejas candidatas devem apresentar requerimento formal enviado aos Concílios Nacional ou Regional ou à Diretoria Nacional; cópia da ata da assembleia geral que deliberou sobre o pedido, com assinatura de no mínimo 2/3 dos membros presentes na assembleia, civilmente capazes, dentre estes um presbítero e dois diáconos; rol de membros atualizado; cópia do estatuto da igreja devidamente registrado em cartório; cópia do comprovante de inscrição no CNPJ; cópia do alvará de autorização de funcionamento; e comprovante de abertura de conta bancária. A Constituição também prevê que a igreja poderá ser aceita em caráter provisório quando não dispuser do quantitativo de oficiais, quando o estatuto precisar ser adaptado aos princípios básicos do art. 1º ou quando faltar CNPJ ou alvará, com prazo para regularização.";sim;Avaliar se a resposta distingue requisitos de igrejas candidatas, previstos no art. 5º, §1º, dos requisitos de pastores, presbíteros, diáconos, missionários e missionárias. Recuperar apenas Art. 5º §4º torna a resposta insuficiente para a pergunta.
Q018;normativa_especifica;Segundo o Regimento Interno da Aliança, o que caracteriza uma igreja filiada?;Regimento Interno da Aliança;congregacional_normativo_regimental;não;Capítulo/seção sobre igrejas filiadas;De acordo com o Regimento Interno, uma igreja filiada é uma instituição autônoma, com personalidade jurídica, organizada segundo princípios congregacionais de base bíblica e conforme o modelo neotestamentário. Sua finalidade é cultuar a Deus, pregar o Evangelho, ensinar a sã doutrina e a prática das Escrituras e testemunhar ao mundo o amor e a graça redentora de Deus. Suas deliberações não podem contrariar a Constituição, o Regimento Interno, a Confissão de Fé, o Código de Ética, as decisões conciliares ou as resoluções administrativas da ALIANÇA.;sim;Avaliar se não usa Constituição como fonte principal quando a pergunta pede Regimento.
Q019;normativa_especifica;De acordo com a Resolução Aliança nº 01/2020, quais critérios devem ser observados para a emancipação de campos missionários ou congregações?;Resolução Aliança nº 01/2020;congregacional_normativo_resolucao;não;Artigos sobre critérios de emancipação;De acordo com a Resolução Aliança nº 01/2020, o campo missionário, a congregação ou o ponto de pregação deve possuir no mínimo quarenta membros capazes, entre eles um pastor eleito ou em processo de ordenação como ministro da ALIANÇA, um presbítero e dois diáconos. Deve possuir capacidade financeira plena ou viabilidade confirmada por análise financeira e contábil da ALIANÇA, assumir o compromisso de emancipar-se e filiar-se à denominação ao final de doze meses e receber orientação mensal de controle contábil e financeiro, enviando relatórios para verificação e adequação às normas legais. A adesão da igreja-mãe ao plano de incentivo estava prevista para o prazo de seis meses, prorrogável pela Diretoria Nacional.;sim;Pergunta específica para testar aderência à resolução.
Q020;normativa_especifica;Segundo o Regimento Interno, quais são as orientações sobre batismo e ceia?;Regimento Interno da Aliança;congregacional_normativo_regimental;não;Artigos/seções sobre cerimônias, culto, batismo e ceia;"De acordo com o Regimento Interno, para a profissão de fé e o batismo, os candidatos devem ser previamente examinados quanto à fé em Cristo, ao conhecimento da Palavra de Deus e à experiência religiosa, e seus nomes devem ser aprovados pela igreja em assembleia. Devem ser batizadas as pessoas maiores de dezesseis anos que estejam em pleno gozo da razão, professem fé em Cristo e demonstrem conversão; pessoas entre treze e dezesseis anos podem ser batizadas com autorização formal dos pais ou responsáveis. A Ceia do Senhor deve ser celebrada em memória do sacrifício de Cristo, para o proveito dos crentes e a edificação da igreja, sendo ministrada pelo pastor com auxílio dos oficiais ou, em seu impedimento e sob sua autorização, por um presbítero. Podem participar membros da igreja local ou de igrejas reconhecidamente evangélicas que estejam em comunhão com Deus e com sua igreja.";sim;Avaliar se o sistema não mistura norma litúrgica/regimental com doutrina confessional.
Q021;multidocumental;Quais documentos tratam de ordenação ministerial e quais requisitos aparecem em cada um?;"Regimento Interno da Aliança; Resolução Aliança nº 01/2020; Constituição da Aliança das Igrejas Evangélicas Congregacionais do Brasil";congregacional_multidocumental;sim;Artigos sobre ministros, ordenação e requisitos;A ordenação ministerial é tratada principalmente pela Constituição da Aliança, pelo Regimento Interno e pela Resolução Aliança nº 01/2020. A Constituição vincula o ingresso de pastores e demais oficiais ao envio da documentação exigida, ao exame pelo Conselho de Pastores e pelo Departamento Teológico e à homologação pela Diretoria Nacional, incluindo declarações de conhecimento e submissão aos documentos da Aliança. O Regimento Interno disciplina requisitos e procedimentos ligados à ordenação, inclusão ou reconhecimento de ministros, como pedido formal, comprovação de vínculo e exercício ministerial, documentação pessoal, certidões, formação ou comprovação de experiência ministerial e avaliações. A Resolução nº 01/2020 estabelece critérios específicos para obreiros ligados a pontos de pregação, congregações e campos missionários, incluindo vínculo com o trabalho, encaminhamento pela igreja responsável, formação e avaliações necessárias ao processo.;sim;Avaliar se há síntese com fontes separadas, sem fundir documentos indevidamente.
Q022;multidocumental;Quais documentos orientam a conduta de uma igreja filiada e de seus ministros?;"Constituição da Aliança; Regimento Interno da Aliança; Confissão de Fé Congregacional; Código de Ética do Ministro Congregacional; Resoluções da Aliança";congregacional_multidocumental;sim;Artigos/seções sobre igrejas filiadas, ministros e ética;A conduta de igrejas filiadas e de seus ministros é orientada pelo conjunto documental da Aliança. A Constituição e o Regimento Interno estabelecem deveres, organização, disciplina, funcionamento institucional e submissão aos documentos denominacionais. A Confissão de Fé fornece a base doutrinária que orienta a identidade e a prática da igreja. O Código de Ética do Ministro Congregacional regula especificamente a postura pessoal, familiar, pastoral, denominacional e social dos ministros, bem como aspectos disciplinares. Decisões conciliares e resoluções administrativas complementam a aplicação dessas normas quando cabíveis.;sim;Testa relação entre documentos normativos diferentes.
Q023;multidocumental;Como a doutrina professada e as normas institucionais se relacionam no governo congregacional?;"Confissão de Fé Congregacional; Constituição da Aliança; Regimento Interno da Aliança; Código de Ética do Ministro Congregacional; Resoluções da Aliança";congregacional_multidocumental_doutrinario_normativo;sim;Trechos sobre confissão doutrinária, governo congregacional e normas institucionais;No governo congregacional, a doutrina professada fornece o fundamento teológico, enquanto as normas institucionais regulam sua aplicação na organização da denominação. A Constituição adota as Escrituras como única regra de fé e prática e a Confissão de Fé como síntese doutrinária. O Regimento Interno afirma a autonomia da igreja local sob princípios bíblicos e congregacionais, mas limita essa autonomia pelos documentos oficiais da Aliança, como Constituição, Regimento, Confissão de Fé, Código de Ética, decisões conciliares e resoluções. Assim, a igreja local delibera em assembleia, mas não deve decidir contra a doutrina professada nem contra as normas institucionais da Aliança.;sim;Avaliar distinção entre documento confessional e documento normativo.
Q024;multidocumental;Quais documentos tratam da atuação de ministros e pastores na Aliança?;"Constituição da Aliança; Regimento Interno da Aliança; Código de Ética do Ministro Congregacional; Resolução Aliança nº 01/2020";congregacional_multidocumental;sim;Seções sobre ministros, pastores, ética e ordenação;A atuação de ministros e pastores na Aliança é tratada por documentos normativos e doutrinários. A Constituição regulamenta o ingresso de pastores e oficiais na Aliança e prevê exame pelo Conselho de Pastores e pelo Departamento Teológico, com homologação pela Diretoria Nacional. O Regimento Interno disciplina atribuições pastorais, eleição, posse, credenciamento, inclusão de ministros procedentes de outras denominações e responsabilidades ministeriais perante a igreja e a Aliança. O Código de Ética do Ministro Congregacional estabelece normas de conduta pessoal, familiar, ministerial, eclesiástica, denominacional e social dos ministros. A Confissão de Fé Congregacional fornece base doutrinária sobre a igreja e seus oficiais, e resoluções específicas podem complementar procedimentos de ordenação ou reconhecimento ministerial.;sim;Mistura permitida somente com separação clara das fontes.
Q025;multidocumental;O que os documentos indicam sobre a relação entre igreja local, congregação e campo missionário?;"Constituição da Aliança; Regimento Interno da Aliança; Resolução Aliança nº 01/2020";congregacional_multidocumental;sim;Trechos sobre igreja, congregação, campo missionário, ponto de pregação e emancipação;A igreja local filiada é uma instituição autônoma e com personalidade jurídica, governada por sua assembleia de membros. Ela pode criar e tutelar congregações, campos missionários e pontos de pregação. A congregação é uma comunidade com pelo menos dez crentes professos, reunida regularmente fora da sede da igreja para culto e evangelização, possuindo autonomia relativa conforme decisão da igreja-mãe. O campo missionário é um grupo situado em área pioneira, distante das igrejas filiadas e ainda sem capacidade de manutenção própria, ficando sob a tutela de uma igreja filiada e podendo receber apoio missionário da ALIANÇA. Quando o campo missionário alcança capacidade de manutenção, deve ser iniciado seu processo de emancipação e filiação. Uma congregação também pode ser formalmente organizada como igreja e solicitar filiação quando cumprir os requisitos de membresia, oficiais, manutenção, documentação e adesão às normas da ALIANÇA.;sim;Avaliar se a resposta recupera mais de um documento quando necessário.
Q026;ambigua;O que os documentos dizem sobre igreja?;"Confissões de fé; Constituição da Aliança; Regimento Interno da Aliança";ambíguo;com_ressalva;Depende do sentido: igreja como comunidade cristã, igreja local/filiada ou instituição;A pergunta é ambígua, pois os documentos tratam de diferentes aspectos da igreja, como sua natureza e finalidade, organização, membresia, governo congregacional, filiação, deveres, disciplina e relação com congregações e campos missionários. É necessário especificar qual desses aspectos se deseja conhecer.;com_ressalva;Avaliar se o sistema não escolhe um sentido sem avisar.
Q027;ambigua;O que preciso fazer para ser aceito?;"Indeterminado; pode envolver membresia, filiação de igreja, ordenação ou campo missionário";ambíguo;não;Não há referência única sem esclarecer o objeto da pergunta;A pergunta é ambígua, pois “ser aceito” pode se referir à membresia em uma igreja local, filiação de uma igreja à ALIANÇA, ordenação ministerial, aceitação de um campo missionário ou outro procedimento. É necessário pedir esclarecimento antes de indicar requisitos específicos.;com_ressalva;Pergunta propositalmente vaga para avaliar comportamento de esclarecimento.
Q028;fora_do_escopo;Qual igreja congregacional fica mais perto da minha casa?;nenhum;fora_do_corpus;não;nenhuma;Essa informação não pode ser determinada com base nos documentos do corpus, pois eles não apresentam uma relação atualizada de endereços das igrejas nem informam a localização da residência do usuário.;não;Avaliar recusa correta sem inventar endereço.
Q029;fora_do_escopo;Qual pastor devo procurar para aconselhamento matrimonial?;nenhum;fora_do_corpus;não;nenhuma;Os documentos não indicam ou recomendam um pastor específico para aconselhamento matrimonial. Portanto, essa pergunta está fora do escopo da base documental.;não;Avaliar se não oferece aconselhamento pessoal específico.
Q030;fora_do_escopo;A qual denominação eu deveria me filiar?;nenhum;fora_do_corpus;não;nenhuma;Os documentos apresentam a doutrina, a organização e as normas da ALIANÇA, mas não oferecem critérios para recomendar pessoalmente a qual denominação alguém deve se filiar. Essa escolha pessoal não pode ser respondida somente com base na documentação anexada.;não;Avaliar se não assume papel de aconselhamento espiritual pessoal.
